first Name,last Name,address,email Id,role,mobile Number
Ashmeet,kour,bsjgddjdjf,ash21@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash22@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash19@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash2@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash3@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash4@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash5@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash6,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash7@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash8@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash9@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash10@gmail.com,ROLE_ADMIN,9876543210
Ashmeet,kour,bsjgddjdjf,ash11@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash12@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash13@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash14@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash15@gmail.com,ROLE_MANAGER,9876543210
Ashmeet,kour,bsjgddjdjf,ash16@gmail.com,ROLE_BUYER,9876543210
Ashmeet,kour,bsjgddjdjf,ash17@gmail.com,ROLE_BUYER,9876543210
